08-14-2025 09:46:42 RAM 3044/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [3%@1728,28%@1728,29%@1728,95%@1728,38%@729,37%@729,36%@729,37%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.312C Tboard@38C SOC2@44.968C Tdiode@39C SOC0@45.5C CV1@-256C GPU@-256C tj@48.312C SOC1@44.625C CV2@-256C VDD_GPU_SOC 2405mW/2259mW VDD_CPU_CV 2005mW/1858mW VIN_SYS_5V0 3129mW/3110mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:43 RAM 3088/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [28%@1728,0%@1728,27%@1728,96%@1728,35%@729,36%@729,34%@729,33%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.281C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.5C CV1@-256C GPU@-256C tj@48.281C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2405mW/2265mW VDD_CPU_CV 2005mW/1865mW VIN_SYS_5V0 3129mW/3111mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:44 RAM 3064/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [25%@1728,14%@1728,26%@1728,96%@1728,33%@729,33%@729,17%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.625C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.468C CV1@-256C GPU@-256C tj@48.375C SOC1@44.531C CV2@-256C VDD_GPU_SOC 2405mW/2271mW VDD_CPU_CV 2004mW/1871mW VIN_SYS_5V0 3129mW/3112mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:45 RAM 3092/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [29%@1728,28%@1728,28%@1728,96%@1728,36%@729,36%@729,0%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.375C Tboard@38C SOC2@45C Tdiode@39C SOC0@45.406C CV1@-256C GPU@-256C tj@48.375C SOC1@44.5C CV2@-256C VDD_GPU_SOC 2405mW/2276mW VDD_CPU_CV 2004mW/1876mW VIN_SYS_5V0 3129mW/3112mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:46 RAM 3094/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,28%@1728,27%@1728,95%@1728,36%@729,35%@729,35%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.625C Tboard@38C SOC2@45C Tdiode@39C SOC0@45.5C CV1@-256C GPU@-256C tj@48.625C SOC1@44.593C CV2@-256C VDD_GPU_SOC 2405mW/2281mW VDD_CPU_CV 2004mW/1881mW VIN_SYS_5V0 3129mW/3113mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:48 RAM 3060/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [23%@1728,3%@1728,26%@1728,95%@1728,35%@729,34%@729,34%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.468C Tboard@38C SOC2@45C Tdiode@39C SOC0@45.468C CV1@-256C GPU@-256C tj@48.25C SOC1@44.562C CV2@-256C VDD_GPU_SOC 2405mW/2286mW VDD_CPU_CV 2004mW/1885mW VIN_SYS_5V0 3129mW/3114mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:49 RAM 3099/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [15%@1728,26%@1728,27%@1728,95%@1728,20%@729,36%@729,37%@729,35%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.656C Tboard@38C SOC2@45.062C Tdiode@39C SOC0@45.5C CV1@-256C GPU@-256C tj@48.656C SOC1@44.562C CV2@-256C VDD_GPU_SOC 2405mW/2290mW VDD_CPU_CV 2005mW/1890mW VIN_SYS_5V0 3129mW/3114mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:50 RAM 3106/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [24%@1728,26%@1851,26%@1728,96%@1728,4%@729,34%@729,34%@729,33%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.5C Tboard@38C SOC2@45C Tdiode@39C SOC0@45.468C CV1@-256C GPU@-256C tj@48.5C SOC1@44.562C CV2@-256C VDD_GPU_SOC 2405mW/2294mW VDD_CPU_CV 2005mW/1894mW VIN_SYS_5V0 3129mW/3115mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:51 RAM 3110/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [51%@1728,35%@1728,15%@1728,53%@1728,37%@729,35%@729,37%@729,37%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.687C Tboard@38C SOC2@45.187C Tdiode@39C SOC0@45.468C CV1@-256C GPU@-256C tj@48.687C SOC1@44.843C CV2@-256C VDD_GPU_SOC 2405mW/2298mW VDD_CPU_CV 2005mW/1897mW VIN_SYS_5V0 3129mW/3115mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:52 RAM 3118/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [2%@1728,95%@1728,25%@1728,26%@1728,33%@729,35%@729,33%@729,33%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.656C Tboard@38C SOC2@45.125C Tdiode@39C SOC0@45.468C CV1@-256C GPU@-256C tj@48.656C SOC1@44.812C CV2@-256C VDD_GPU_SOC 2405mW/2301mW VDD_CPU_CV 2005mW/1901mW VIN_SYS_5V0 3129mW/3115mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:53 RAM 3118/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [4%@1728,96%@1728,25%@1728,26%@1728,32%@729,33%@729,32%@729,32%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.625C Tboard@38C SOC2@45.031C Tdiode@39C SOC0@45.687C CV1@-256C GPU@-256C tj@48.625C SOC1@44.718C CV2@-256C VDD_GPU_SOC 2405mW/2304mW VDD_CPU_CV 2005mW/1904mW VIN_SYS_5V0 3129mW/3116mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:54 RAM 3124/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [2%@1728,96%@1848,27%@1728,29%@1728,36%@729,36%@729,35%@729,35%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.531C Tboard@38C SOC2@45.125C Tdiode@39C SOC0@45.625C CV1@-256C GPU@-256C tj@48.656C SOC1@44.625C CV2@-256C VDD_GPU_SOC 2405mW/2307mW VDD_CPU_CV 2005mW/1907mW VIN_SYS_5V0 3129mW/3116mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:55 RAM 3124/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [10%@1728,95%@1728,26%@1728,26%@1728,30%@729,34%@729,26%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.562C Tboard@38C SOC2@45.062C Tdiode@39C SOC0@45.656C CV1@-256C GPU@-256C tj@48.562C SOC1@44.656C CV2@-256C VDD_GPU_SOC 2405mW/2310mW VDD_CPU_CV 2005mW/1910mW VIN_SYS_5V0 3129mW/3117mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:56 RAM 3127/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,96%@1728,28%@1728,28%@1728,35%@729,35%@729,34%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.406C Tboard@38C SOC2@45.187C Tdiode@39C SOC0@45.593C CV1@-256C GPU@-256C tj@48.406C SOC1@44.656C CV2@-256C VDD_GPU_SOC 2405mW/2313mW VDD_CPU_CV 2004mW/1913mW VIN_SYS_5V0 3129mW/3117mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:57 RAM 3127/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1728,94%@1728,27%@1728,26%@1728,37%@729,37%@729,36%@729,37%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.5C Tboard@38C SOC2@45C Tdiode@39C SOC0@45.625C CV1@-256C GPU@-256C tj@48.5C SOC1@44.656C CV2@-256C VDD_GPU_SOC 2405mW/2315mW VDD_CPU_CV 2004mW/1915mW VIN_SYS_5V0 3129mW/3117mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:58 RAM 3119/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [8%@1728,56%@1728,57%@1728,26%@1728,36%@729,36%@729,37%@729,36%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.656C Tboard@38C SOC2@44.968C Tdiode@39C SOC0@45.562C CV1@-256C GPU@-256C tj@48.375C SOC1@44.656C CV2@-256C VDD_GPU_SOC 2404mW/2318mW VDD_CPU_CV 2004mW/1917mW VIN_SYS_5V0 3129mW/3118mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:59 RAM 3151/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [2%@1728,26%@1728,96%@1728,29%@1728,33%@729,37%@729,37%@729,36%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.343C Tboard@38C SOC2@44.968C Tdiode@39C SOC0@45.531C CV1@-256C GPU@-256C tj@48.343C SOC1@44.656C CV2@-256C VDD_GPU_SOC 2405mW/2320mW VDD_CPU_CV 2004mW/1920mW VIN_SYS_5V0 3129mW/3118mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:47:00 RAM 3140/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [47%@1728,27%@1728,76%@1728,27%@1728,11%@729,26%@729,31%@729,28%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.656C Tboard@38C SOC2@45.281C Tdiode@39C SOC0@45.562C CV1@-256C GPU@-256C tj@48.656C SOC1@44.625C CV2@-256C VDD_GPU_SOC 2405mW/2322mW VDD_CPU_CV 2004mW/1922mW VIN_SYS_5V0 3129mW/3118mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:47:01 RAM 3155/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [97%@1728,24%@1728,23%@1728,25%@1728,32%@729,0%@729,32%@729,32%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.562C Tboard@38C SOC2@45.187C Tdiode@39C SOC0@45.468C CV1@-256C GPU@-256C tj@48.5C SOC1@44.812C CV2@-256C VDD_GPU_SOC 2405mW/2324mW VDD_CPU_CV 2005mW/1924mW VIN_SYS_5V0 3129mW/3118mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:47:02 RAM 3154/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [95%@1728,27%@1728,28%@1728,26%@1728,1%@729,34%@729,32%@729,32%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.656C Tboard@38C SOC2@45.25C Tdiode@39C SOC0@45.562C CV1@-256C GPU@-256C tj@48.656C SOC1@44.937C CV2@-256C VDD_GPU_SOC 2405mW/2326mW VDD_CPU_CV 2005mW/1926mW VIN_SYS_5V0 3129mW/3119mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:47:03 RAM 3152/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [97%@1728,27%@1728,23%@1728,27%@1728,4%@729,33%@729,34%@729,32%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.593C Tboard@38C SOC2@45.093C Tdiode@39.25C SOC0@45.531C CV1@-256C GPU@-256C tj@48.593C SOC1@44.906C CV2@-256C VDD_GPU_SOC 2405mW/2328mW VDD_CPU_CV 2005mW/1928mW VIN_SYS_5V0 3129mW/3119mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
