08-13-2025 19:06:24 RAM 3848/62801MB (lfb 13190x4MB) SWAP 0/31400MB (cached 0MB) CPU [19%@1728,94%@1728,21%@1728,4%@1728,30%@729,31%@806,32%@806,29%@806,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.625C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.343C CV1@-256C GPU@-256C tj@48.625C SOC1@44.5C CV2@-256C VDD_GPU_SOC 2406mW/2424mW VDD_CPU_CV 2006mW/1714mW VIN_SYS_5V0 3129mW/3087mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/572mW NC 0mW/0mW
08-13-2025 19:06:25 RAM 3925/62801MB (lfb 13169x4MB) SWAP 0/31400MB (cached 0MB) CPU [95%@1714,14%@1728,13%@1728,12%@1728,0%@729,14%@729,15%@729,16%@923,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.187C Tboard@38C SOC2@44.843C Tdiode@38.75C SOC0@45.343C CV1@-256C GPU@-256C tj@48.187C SOC1@44.531C CV2@-256C VDD_GPU_SOC 2406mW/2423mW VDD_CPU_CV 1605mW/1709mW VIN_SYS_5V0 3028mW/3085mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/569mW NC 0mW/0mW
08-13-2025 19:06:26 RAM 3925/62801MB (lfb 13169x4MB) SWAP 0/31400MB (cached 0MB) CPU [23%@1728,94%@1728,0%@1728,24%@1728,31%@729,31%@729,29%@729,27%@784,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.406C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.375C CV1@-256C GPU@-256C tj@48.406C SOC1@44.625C CV2@-256C VDD_GPU_SOC 2406mW/2422mW VDD_CPU_CV 2006mW/1721mW VIN_SYS_5V0 3129mW/3087mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/571mW NC 0mW/0mW
08-13-2025 19:06:27 RAM 3949/62801MB (lfb 13161x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@1728,98%@1728,0%@1728,11%@1728,16%@729,15%@729,15%@729,15%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.093C Tboard@38C SOC2@44.875C Tdiode@38.75C SOC0@45.375C CV1@-256C GPU@-256C tj@48.187C SOC1@44.437C CV2@-256C VDD_GPU_SOC 2005mW/2406mW VDD_CPU_CV 1605mW/1717mW VIN_SYS_5V0 3028mW/3084mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/568mW NC 0mW/0mW
08-13-2025 19:06:28 RAM 3981/62801MB (lfb 13161x4MB) SWAP 0/31400MB (cached 0MB) CPU [89%@1728,16%@1728,21%@1728,21%@1728,30%@729,17%@729,30%@729,30%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.312C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.343C CV1@-256C GPU@-256C tj@48.312C SOC1@44.5C CV2@-256C VDD_GPU_SOC 2406mW/2406mW VDD_CPU_CV 2006mW/1728mW VIN_SYS_5V0 3129mW/3086mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/570mW NC 0mW/0mW
08-13-2025 19:06:29 RAM 4128/62801MB (lfb 13136x4MB) SWAP 0/31400MB (cached 0MB) CPU [16%@1728,11%@1728,94%@1728,11%@1728,16%@729,0%@729,15%@729,15%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@47.906C Tboard@38C SOC2@44.875C Tdiode@38.75C SOC0@45.312C CV1@-256C GPU@-256C tj@47.906C SOC1@44.437C CV2@-256C VDD_GPU_SOC 2005mW/2391mW VDD_CPU_CV 1605mW/1723mW VIN_SYS_5V0 3028mW/3084mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/567mW NC 0mW/0mW
08-13-2025 19:06:30 RAM 4076/62801MB (lfb 13134x4MB) SWAP 0/31400MB (cached 0MB) CPU [24%@1728,16%@1728,94%@1728,8%@1728,30%@729,30%@729,30%@729,30%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.437C Tboard@38C SOC2@44.875C Tdiode@38.75C SOC0@45.375C CV1@-256C GPU@-256C tj@48.187C SOC1@44.531C CV2@-256C VDD_GPU_SOC 2406mW/2391mW VDD_CPU_CV 2006mW/1733mW VIN_SYS_5V0 3129mW/3085mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/568mW NC 0mW/0mW
08-13-2025 19:06:31 RAM 4099/62801MB (lfb 13126x4MB) SWAP 0/31400MB (cached 0MB) CPU [12%@1728,12%@1728,98%@1728,0%@1728,13%@729,14%@729,13%@1267,13%@1267,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.156C Tboard@38C SOC2@44.843C Tdiode@39C SOC0@45.343C CV1@-256C GPU@-256C tj@48.156C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2392mW VDD_CPU_CV 1605mW/1729mW VIN_SYS_5V0 3028mW/3083mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/566mW NC 0mW/0mW
08-13-2025 19:06:32 RAM 4115/62801MB (lfb 13126x4MB) SWAP 0/31400MB (cached 0MB) CPU [19%@1728,22%@1728,94%@1728,14%@1728,15%@729,30%@729,30%@729,30%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.5C Tboard@38C SOC2@44.968C Tdiode@38.75C SOC0@45.25C CV1@-256C GPU@-256C tj@48.5C SOC1@44.531C CV2@-256C VDD_GPU_SOC 2406mW/2392mW VDD_CPU_CV 2006mW/1738mW VIN_SYS_5V0 3129mW/3085mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/567mW NC 0mW/0mW
08-13-2025 19:06:33 RAM 4213/62801MB (lfb 13098x4MB) SWAP 0/31400MB (cached 0MB) CPU [6%@1728,14%@1728,98%@1728,13%@1728,9%@729,15%@729,17%@729,15%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.312C Tboard@38C SOC2@44.781C Tdiode@38.75C SOC0@45.375C CV1@-256C GPU@-256C tj@48.25C SOC1@44.437C CV2@-256C VDD_GPU_SOC 2406mW/2393mW VDD_CPU_CV 1605mW/1734mW VIN_SYS_5V0 3028mW/3083mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/565mW NC 0mW/0mW
